nama pengguna,produk,review,rating,waktu transaksi
c47rk6lo_f,FortKlass Kaos Wash FORTKLASS Kaos Oversize Pria Lengan Pendek Atasan Tshirt Distro Cowok Kaos Pria Kaos Polos Bigsize,,5,2024-08-11 18:49
c47rk6lo_f,FortKlass Kaos Oversize FEARLESS T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 18:49
c47rk6lo_f,FortKlass Kaos Oversize LIVEYOUR T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo Kaos Distro,,5,2024-08-11 18:49
suyuthi_ihsan,FortKlass kelvin kemeja polos pria lengan panjang formal slimfit cowok formal slimfit cowok cowo Kemeja Tangan Panjang Formal Kantor Kerja Hem Pria Trendy Terlaris COD Free Ongkir Kamaja Polos Interview,,4,2024-08-11 18:37
suyuthi_ihsan,FortKlass peter kemeja polos pria lengan panjang formal slimfit cowok cowo Kemeja Tangan panjang Formal Kantor Kerja Hem Pria Trendy Terlaris COD Free Ongkir Kamaja,,4,2024-08-11 18:37
ramadhanibjm77,FortKlass Kaos Oversize  KANTONG Kaos T-Shirt 24s Cowok Premium Katun Combed 24S unisex,,5,2024-08-11 18:36
ramadhanibjm77,FortKlass Ladies Mix Sweater Crop Basic Wanita Motif Tie Dye,,5,2024-08-11 18:36
winawidodopratama,FortKlass Kaos Oversize 24S RANTAI T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,"Desain:sederhana tpi elegan
Warna:hitam dan putih
Kenyamanan:nyaman

Kaosnya bagus bahannya tebel dan jumbo cocok buat suamiku yg suka kaos jumbo",4,2024-08-11 18:34
a*****n,FortKlass Kaos Polos Oversize Fit T-Shirt Pria Cowo Cowok Premium Katun Combed 24S Best Seller,"pesanan sampai dg aman dan sesuai. bagus bgt kualitasnya, bahan dingin jika dipakai dan stretchy, thankyou seller.",5,2024-08-11 18:28
devitakrisnas,FortKlass Kaos Oversize 24S RANTAI T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 18:25
fajarzn,FortKlass Kaos Polos Oversize  T-Shirt Cowok Premium Katun Combed 24S unisex pria wanita Best Seller Oversized Besar,,5,2024-08-11 18:22
sinta16091986,FortKlass Kaos THREECOLOR Pria Katun Combed Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 18:22
reyakbar16,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 18:22
syahrul_ramazan,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 18:21
gilangcahyadi,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 18:19
alamulhuda6,FortKlass Rayon Polos Putih Kemeja Polos Pria Lengan Pendek Kasual,,3,2024-08-11 18:16
x*****x,FortKlass Kaos Polos Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex Tshirt,"Desain:simpel, elegan, rapi
Warna:putih hitam sesuai pesanan
Bahan:lumayan baik, sesuai harga

Pas, harga terjangkau, simpel",4,2024-08-11 18:16
varidasaragih,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 18:12
varidasaragih,FortKlass Kaos Polos Pria Katun Combed 30s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 18:12
varidasaragih,FortKlass Kaos Oversize 24S RANTAI T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 18:12
elsaaadwi01,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 18:11
m*****_,FortKlass Kemeja Rayon Polos Pria Lengan Pendek Hem Pria Kemeja pantai santai Earth Tone Distro,,5,2024-08-11 18:11
farizalfahmi,Fortklass Kemeja Max Kemeja Basic Pendek Polos Slimfit Kemeja Formal Basic Casual Lengan Pendek,"Warna:putih
Kenyamanan:nyaman
Bahan:adem

Xvniffvh gukmnfdh nmkkvvm nkufnmgvm xghbkc",5,2024-08-11 18:09
d*****3,FortKlass Kaos Polos Oversize Fit T-Shirt Pria Cowo Cowok Premium Katun Combed 24S Best Seller,"Desain:casual
Warna:putih
Bahan:lembut

Terimakasih barangnya udah dateng suka bgtt 🥰",5,2024-08-11 18:06
raflijian,FortKlass Kaos Oversize Wash FOOTBALL Kaos Oversize Pria Lengan Pendek Atasan Tshirt Distro,"Kenyamanan:pas
Warna:keren
Bahan:nyaman

Mantappp",5,2024-08-11 18:03
r*****y,FortKlass Kaos Polos Oversize Fit T-Shirt Pria Cowo Cowok Premium Katun Combed 24S Best Seller,,5,2024-08-11 18:03
dianasafitri455,FortKlass Kaos Wash HARVARD Kaos Oversize Pria Lengan Pendek Atasan Tshirt Distro Cowok Kaos Pria Kaos Polos Bigsize,,5,2024-08-11 18:02
dianasafitri455,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 18:02
noviatinata912,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,4,2024-08-11 18:01
zehanzehan915,FortKlass Kaos SPORTY Regular Fit Kaos Sablon 24S 30S Kaos Pria Lengan Pendek Atasan Tshirt Distro,,5,2024-08-11 17:59
bayupratama0434,FortKlass Kaos Oversize Wash DANGEROUS Kaos Oversize Pria Lengan Pendek,"Warna:bagus
Bahan:bagus
Desain:bagus

Agak tipis untuk harga segitu karena pernah beli harga lebih murah lebih tebal juga",4,2024-08-11 17:58
menbolt94,Fortklass Kemeja Max Kemeja Basic Pendek Polos Slimfit Kemeja Formal Basic Casual Lengan Pendek,,5,2024-08-11 17:54
c*****a,FortKlass Kaos Oversize SPORTY 89 T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,"Desain:menarik dan modern
Warna:sesuai gambar
Kenyamanan:nyaman bgt saat dipakai

kaa ini kaosnyaa baguuss bangettt,sukaa banget sama kaosnyaa bahannya jugaa tebel😻",5,2024-08-11 17:51
felixpratama337,FortKlass Rayon Polos Putih Kemeja Polos Pria Lengan Pendek Kasual,"Kenyamanan:nyaman nyaman aja
Desain:kurang bagus
Bahan:tipis banget nrawang ga sesuai ekspektasi",1,2024-08-11 17:49
maulanaprastika,FortKlass Kaos YUGA Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex Regular Fit,"Desain:bagus
Bahan:coutton 24s
Kenyamanan:adem

Mantap👍👍",5,2024-08-11 17:49
maulanaprastika,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,"Desain:bagus
Warna:hitam
Kenyamanan:adem

Bahan asli coutton 24s, barang sesuai pesanan, reseller amanah,, mantap🙅‍♂️",5,2024-08-11 17:49
rickaimelda,FortKlass Kaos SPORTY Regular Fit Kaos Sablon 24S 30S Kaos Pria Lengan Pendek Atasan Tshirt Distro,,4,2024-08-11 17:48
